pergunta;resposta
qual é a ciência que estuda a composição da crosta terrestre e seus processos?;geologia
a geologia estuda o quê, além da crosta terrestre?;processos geológicos
quem são os profissionais responsáveis por estudar as rochas e minerais?;geólogos
o que acontece quando a crosta terrestre é submetida a forças de compressão?;formação de montanhas
que tipo de rocha é formada pelo resfriamento do magma ou lava?;rochas ígneas
qual processo leva à formação de rochas sedimentares?;deposição e compactação de sedimentos
o que são fosseis?;restos ou evidências de organismos pré-históricos preservados em rochas
quais forças moldam a superfície da Terra, segundo a geologia?;erupções vulcânicas, terremotos e erosão
qual método é usado para determinar a idade das rochas?;datação radiométrica
o que estuda a geologia estrutural?;forma e deformação das rochas na crosta terrestre
