pergunta;resposta
Qual é a localização da Universidade Harvard?;Boston, Massachusetts;
Quando foi fundada a Universidade Harvard?;1636;
Quem era o primeiro presidente da Universidade Harvard?;Henry Dunster;
Quantos membros do corpo docente e discente da Universidade Harvard ganharam o Prêmio Nobel?;alunos e professores de Harvard ganharam 162 prêmios Nobel;
Qual foi a primeira escola estabelecida dentro da Universidade Harvard?;Escola Divinatória (não uma tradução oficial, mas refere-se à faculdade original);
Quantas pessoas aproximadamente estudam na Universidade Harvard atualmente?;30 000;
Quem é o reitor da Universidade Harvard em 2021?;Larry Bacow;
Qual é a biblioteca mais conhecida da Universidade Harvard?;Biblioteca Widener;
O que é uma das principais contribuições da Universidade Harvard para a literatura americana?;Produziu muitos escritores famosos, incluindo Ralph Waldo Emerson e Henry David Thoreau;
Qual faculdade dentro de Harvard é conhecida por sua pesquisa em ciências aplicadas?;Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS);
