```csv
pergunta;resposta
Qual é o período em que a Peste Negra atingiu seu pico na Europa?;entre os anos de 1347 e 1351
Quantos anos demorou para que a população da Europa recuperasse o nível anterior à Peste Negra?;cerca de 200 anos
Qual bactéria é considerada a causa principal da Peste Negra?;Yersinia pestis
Quais são as formas mais comuns da peste causada pela Yersinia pestis mencionadas no texto?;septicémica, pneumónica e bubónica
Quantas pessoas acredita-se terem morrido na Eurásia devido à Peste Negra?;75 a 200 milhões de pessoas
De onde a praga pode ter se originado, conforme mencionado no contexto?;Ásia Central ou Ásia Oriental
Como a praga foi transportada para o resto da Europa, segundo o texto?;por pulgas que viviam nos ratos em navios mercantes genoveses
Qual é a estimativa de morte na população europeia devido à Peste Negra?;entre 30% a 60%
Onde a praga chegou primeiro na Inglaterra, conforme mencionado no texto?;em Dorsetshire
Quando a Peste Negra retornou como surtos até ao início do século XX?;até o início do século XX
```
