pergunta;resposta
Qual é o termo usado para descrever a aplicação do Islã na esfera política?;Islamismo político;
O islamismo político pode ser visto como um movimento que busca implementar a lei islâmica em sistemas políticos. Qual dessas opções melhor representa essa ideia?;Impor o direito islâmico (Sharia) nas leis do Estado;
Qual das seguintes organizações é conhecida por seu papel no islamismo político e na promoção da aplicação da sharia nos Estados modernos muçulmanos?;Os Irmãos Muçulmanos;
O Islã tem diferentes escolas de pensamento jurídico. Quantas são as quatro principais madhabs do Islã, que influenciam o islamismo político em várias nações islâmicas?;Quatro;
Qual é o nome dado ao processo pelo qual os princípios do Islã são aplicados a assuntos sociais e políticos modernos?;Islamização;
Quem é considerado o fundador dos Irmãos Muçulmanos, uma organização significativa na história do islamismo político?;Hassan al-Banna;
O islamismo político pode levar à criação de um Estado teocrático. Qual desses termos descreve melhor essa situação?;Estado Islâmico;
Na Síria e no Iraque, a organização que buscou estabelecer um califado islâmico é conhecida como o que?;Estados do Irão e do Iraque (após renomear-se para Califado do Estado);
O islamismo político tem como objetivo centralizar a vida pública e política em torno de quais princípios fundamentais do Islã?;Princípios islâmicos;
Qual é o nome dado ao movimento que busca separação entre religião e estado no mundo islâmico, contrapondo-se ao islamismo político?;Laicismo (Secularismo);
O islamismo político costuma ser mais forte em países com governos ditatoriais. Qual dessas razões explica essa tendência?;Rejeição à falta de liberdade política e civil;
