```csv
Em que campo da matemática a teoria da complexidade computacional é fundamental?;Ciência da Computação
Quais são os dois principais tipos de recursos considerados na teoria da complexidade computacional?;Tempo e espaço
Como é classificada uma linguagem se puder ser decidida por um autômato finito?;Linguagem regular
Qual é a classe que representa problemas solucionáveis em tempo polinomial por uma máquina de Turing não determinística?;NP
O que demonstra a hipótese P ≠ NP sobre o relacionamento entre as classes P e NP?;Que há problemas na classe NP que não podem ser resolvidos em tempo polinomial pela máquina de Turing mais geral.
Quais são os dois principais problemas representativos da classe NP-completa?;Problema do Clique e Problema do Ciclo Hamiltoniano
Qual é a importância dos problemas NP-completos na teoria da complexidade computacional?;Se um problema NP-completo pode ser resolvido em tempo polinomial, todos os problemas de NP podem.
O que significa se uma linguagem pertence à classe EXPTIME?;É decidível por uma máquina de Turing determinística em tempo exponencial.
Qual abordagem é frequentemente usada na teoria da complexidade para analisar a viabilidade prática de um algoritmo?;Análise assintótica
Como é classificada uma linguagem que pode ser decidida por uma máquina de Turing determinística em tempo exponencial?;Linguagem EXPTIME
```
