Aqui estão os 10 pares "pergunta;resposta" conforme as instruções:

1. **Pergunta:** Juntamente com a fonte geotérmica e nuclear, o que é uma fonte notável de calor sem combustão?;Resposta: Solar.

2. **Pergunta:** Qual ciclo termodinâmico ideal analisa o processo pelo qual os motores a vapor funcionam?;Resposta: Rankine.

3. **Pergunta:** No ciclo Rankine, em que pressão a água é aquecida?;Resposta: Alta.

4. **Pergunta:** Aquele tipo de motor que utiliza combustão externa para gerar energia?;Resposta: Motores a vapor.

5. **Pergunta:** Quem foi o inventor do motor atmosférico?;Resposta: Thomas Newcomen.

6. **Pergunta:** Em que ano o motor atmosférico foi inventado?;Resposta: 1712.

7. **Pergunta:** O inventou a bomba de vapor?;Resposta: Savery.

8. **Pergunta:** Quem conceituou o pistão?;Resposta: Papin.

9. **Pergunta:** Que tipo de motor é conhecido como motor atmosférico?;Resposta: Motores a vapor.

10. **Pergunta:** Em que ano foi inventado o primeiro motor verdadeiro que obteve sucesso comercial?;Resposta: 1769 (motor à bomba de Savery) ou 1823 (primeiro motor comercial de vapor).
