pergunta;resposta
Which area is located near Warsaw;Nearby the Vistula River
What was Warsaw's population in 2012?;1,716,855
Which football team has a stadium in Warsaw?;FC Zorya Luhansk
Who passed away in Warsaw?;Stanisław Mazur
Name an artist from Warsaw;The Coluna of Sigismund (Sigismund thepcs)
Where is the nearest subway station located in Warsaw?;Stadion Dziesiecielecia
Which company is based in Warsaw?;Rootwater
When was Sigismund's Column established in Warsaw?;1569
What happened during the 2014 Davis Cup Qualifying Round 2 in Warsaw?;It took place in Warsaw
What was the average temperature in Warsaw in March?;-3°C
