pergunta;resposta
O que Paul Baran desenvolveu?;Paul Baran desenvolveu o conceito Switching Adaptive Message Block  
O que a comutação de pacote de mensagem adaptável distribuída fez?;forncer um método de roteamento eficiente e tolerante a falhas para mensagens de telecomunicações  
O que esse conceito contradiz?;Esse conceito contrastava e contradictoria os princípios estabelecidos anteriormente de pré-alocação da largura de banda da rede  
Com o que Donald Davies é creditado?;Davies é creditado por cunhar o nome moderno de comutação de pacotes e inspirar várias redes de comutação de pacotes na Europa  
O que Paul Baran desenvolveu no final dos anos 50?;o conceito Switching Adaptive Message  
Qual ao sistema?;forncer um método de roteamento eficiente e tolerante a falhas para mensagens de telecomunicações  
Quem é creditado com o nome moderno para este sistema?;Davies é creditado por cunhar o nome moderno de comutação de pacotes e inspirar several networks using packet switching  
A comutação de pacotes contrasta com o que outro principal?;comutação de circuitos,
O que é comutação de circuitos caracterizada por?;a comutação de circuitos é caracterizada por uma taxa por unidade de tempo de conexão  
Como a comutação de pacotes é caracterizada?;por uma taxa por unidade de informação transmitida,
