pergunta;resposta
Os normandos descendem em grande parte de quais povos?;viquingues da Escandinávia.
Qual é o significado da palavra "Norman"?;"homens do Norte".
Quais são os idiomas falados pelos normandos mencionados no contexto?;Old Norse
Qual foi um importante evento histórico envolvendo os normandos na Inglaterra?;Conquista Normanda da Inglaterra.
Em que regiões, além da Europa Medieval, os normandos tiveram influência significativa?;Oriente Médio
Quem é Richard of Salerno em relação aos normandos?;possui nacionalidade Normans
Qual arquitetura está associada ao estilo normando mencionado no contexto?;St Mary's Church, Mortehoe
Por qual evento histórico os normandos são conhecidos na Sicília e sul da península Itálica?;estabelecimento de estados
Quais religiões eram seguidas pelos normandos conforme o texto?;Norse paganism
Qual modelo de página wiki é usado para descrever os normandos?;Template:Infobox ethnic group
