Pergunta 1;Resposta 1
O que são Ctenóforos?;Ctenóforos, também conhecidos como "tentáculos-de-vela" ou "células-tentáculo", são um filo de animais marinhos invertebrados. Eles são caracterizados por seus tentáculos ciliados que eles usam para capturar presas, como pequenos crustáceos.
Pergunta 2;Resposta 2
Quantos tipos de Ctenóforos existem?;Existem cerca de 100 espécies conhecidas de Ctenóforos.
Pergunta 3;Resposta 3
Onde os Ctenóforos vivem?;Os Ctenóforos vivem principalmente nos oceanos, em águas de temperaturas mais frias, a partir da superfície até cerca de 2.000 metros de profundidade.
Pergunta 4;Resposta 4
Como se alimentam os Ctenóforos?;Os Ctenóforos capturam presas usando seus tentáculos ciliados, que eles movem rapidamente para formar uma rede, envolvendo as presas até que elas estejam seguras.
Pergunta 5;Resposta 5
Qual é a função dos "combos" em Ctenóforos?;Os "combos" são estruturas de suporte interna que ajudam os Ctenóforos a manter sua forma e se moverem no ambiente acuático.
Pergunta 6;Resposta 6
Como se reproduzem os Ctenóforos?;Os Ctenóforos são hermafroditas, possuem tanto órgãos reprodutores masculinos quanto femininos. Eles liberam gametas na água para a fecundação externa.
Pergunta 7;Resposta 7
Quais são as principais ameaças aos Ctenóforos?;As principais ameaças aos Ctenóforos incluem poluição, mudanças climáticas e atividades de pesca excessiva.
Pergunta 8;Resposta 8
Como os Ctenóforos se defendem dos predadores?;Os Ctenóforos não possuem mecanismos de defesa específicos, mas podem liberar uma substância irritante que pode repelir alguns predadores.
Pergunta 9;Resposta 9
Quando evoluíram os Ctenóforos?;Os Ctenóforos evoluíram há cerca de 500 milhões de anos, durante o período Câmbrico.
Pergunta 10;Resposta 10
Qual é a importância dos Ctenóforos no ecossistema?;Os Ctenóforos desempenham um papel importante na cadeia alimentar marinha, servindo como predadores de pequenos crustáceos e outros organismos unicelulares. Além disso, eles atuam como indicadores de poluição devido à sua sensibilidade a mudanças ambientais.
