pergunta;resposta
O que é um número primo?;é um número inteiro maior do que 1 que tem somente dois divisores distintos: o número um e ele mesmo.
Qual propriedade de um número se refere à capacidade de ser dividido por pelo menos três números?;É chamada composta.
De qual teorema em particular diz-se que qualquer número natural diferente de 1 pode ser escrito de forma única (desconsiderando a ordem) como um produto de números primos?;Teorema Fundamental da Aritmética
Qual é o nome dado ao método de decompor um número inteiro positivo em fatores primos?;Fatorização.
Por que se exclui 1 para definir primalidade?;pois ele não possui apenas dois divisores distintos.
Como se chama a propriedade de ser múltiplo de pelo menos três números?;É chamada composta.
Qual é o nome do método útil usado para testar rapidamente a primalidade de grandes números?;Teste de primalidade de Miller-Rabin.
Qual é o nome do algoritmo útil também usado para testar rapidamente a primalidade de grandes números?;Teste de primalidade de AKS.
Em qual ano e mês um novo recorde foi batido no tamanho dos dígitos de um número primo conhecido?;2016, janeiro
Como se denomina o método que é usado para identificar numeros primos em uma forma específica do algoritmo RSA?;Função modular inversa.
