perguntas;respostas
A crise petrolífera de 1973 foi causada por um embargo petrolífero imposto por que país?;Os Países Árabes Exportadores de Petróleo (OPAEP)
Qual é o tipo da crise petrolífera de 1973?;Calamity
Quando terminou a crise petrolífera de 1973, em termos de embargo petrolífero imposto aos EUA e outras nações que apoiavam Israel?;Março de 1974
O que aconteceu com os preços do petróleo no mundo inteiro após o início do embargo petrolífero da OPAEP em outubro de 1973?;Os preços subiram significativamente, passando de US$ 3 por barril para cerca de US$ 12
O que causou a crise petrolífera de 1973?;A Guerra do Yom Kippur e o apoio dos EUA à Israel.
Quais foram alguns dos países que sofreram com o embargo petrolífero imposto pela OPAEP em 1973?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos
O que causou a crise do petróleo de 1979, conhecida como o "segundo choque do petróleo"?;A Guerra do Yom Kippur não foi o motivo para esta segunda crise, ela ocorreu em 1979.
Qual é uma das características que descreve a crise petrolífera de 1973?;Crisis
Como os preços do petróleo aumentaram após o embargo imposto pela OPAEP?;Subiram de US$ 3 por barril para cerca de US$ 12.
O que causou uma das mais significativas alterações econômicas na crise petrolífera de 1973?;A crise do petróleo levantou preocupações sobre a estabilidade dos preços e aumentou o custo da vida, especialmente para os países importadores de petróleo.
