pergunta;resposta
Qual é o nome químico do gás que compõe cerca de 21% da atmosfera terrestre?;Oxygen
Quais são os três elementos mais abundantes no universo?;Carbon, Hydrogen, Oxygen
Qual é a função principal do oxigênio nas células?;Respiração celular
Em que estado de agregação encontramos o oxigênio em temperatura ambiente?;Gasoso
O oxigênio é um elemento químico ou composto?;Elemento
Qual é a cor do gás oxigênio?;Incolor
Quantos elétrons possui um átomo neutro de oxigênio?;6
Em que grupo do período químico encontra-se o oxigênio?;16
O oxigênio é um gás ou líquido em temperatura ambiente?;Gás
Qual a nomenclatura química do composto formado pelo oxigênio e o hidrogênio?;Água
