pergunta;resposta
A Universidade de Chicago foi fundada em que ano?;1890
Qual é o time de futebol americano da Universidade de Chicago?;Chicago Maroons
Em qual cidade a Universidade de Chicago está localizada?;Chicago
Quem foi o primeiro presidente da Universidade de Chicago?;William Rainey Harper
A Universidade de Chicago é conhecida por sua abordagem em qual método de aprendizagem?;Método Socrático
Qual prêmio Nobel foi ganho pelo economista Gary Becker, associado à Universidade de Chicago?;Prêmio Nobel de Economia
O campus da Universidade de Chicago está localizado perto de qual famosa avenida em Chicago?;Midway Plaisance
A Universidade de Chicago é membro de qual associação de universidades de pesquisa?;Association of American Universities
Qual biblioteca da Universidade de Chicago é uma das maiores do mundo?;Regenstein Library
O que significa o termo "Chicago School" no contexto acadêmico?;Uma abordagem de pensamento em economia e direito
