Aqui estão 10 pares pergunta;resposta gerados a partir das informações fornecidas, seguindo o formato e as instruções:

pergunta;resposta
Quem foram os principais comandantes da guerra francesa e indiana?;Capitão Jacobs, Daniel Liénard de Beaujeu, George Washington, James Wolfe, Jean Erdman, Barão Dieskau, Pierre François de Rigaud, Marquês de Vaudreuil-Cavagnal, Pontiac (líder Ottawa), Sayenqueraghta, Shingas, Sir William Johnson.
Qual era a força dos britânicos no auge da guerra?;10.000 regulares (troupes de la terre e troupes de la marine).
Qual era a força total dos britânicos e milícias no auge da guerra?;42.000 regulares e milícias.
Qual território era alvo da disputa durante a guerra?;Louisiana (Nova França).
Quais foram os principais temas das caixas de campanha da guerra?;Vale do Ohio e Marítimos.
Qual foi o número estimado de baixas na guerra?;1512.
Quais grupos indígenas lutaram como combatentes na guerra?;Mingo, Confederação Wabanaki, Algonquim, Wyandot de Fort Detroit.
Quais categorias são usadas para categorizar a guerra francesa e indiana?;Guerra Francesa e Indiana, História Militar do Canadá, História Militar da Nova Escócia, Guerra dos Sete Anos.
Quais modelos são usados na página wiki da guerra francesa e indiana?;Sobre, Controle de Autoridade, História Militar do Canadá, Necessita Citação, Citação de Revista, Citação da Web, Bandeira, Bandeira do País, Infobox Conflito Militar, Reflist, Ver Também, História dos EUA.
Qual foi o resultado da operação britânica em 1755, 1756 e 1757?;Uma combinação de má administração, divisões internas e olheiros canadenses eficazes, forças regulares francesas e aliados guerreiros indígenas.
