pergunta;resposta
É um número primo se ele só pode ser dividido por 1 e por si mesmo?;;sim
Quais são os primeiros três números primos?;;2,3,5
O que é um número composto?;;Números que têm mais divisores além de 1 e eles mesmos.
Qual número não é primo?;;9
Se um número é divisível por 2, ele pode ser primo?;;Não necessariamente, pode ser par mas ainda assim primo.
Um número primo tem quantos divisores?;;Somente 2 divisores: 1 e o próprio número.
O que acontece quando você multiplica dois números primos?;;Você obtém outro número primo
Qual é a definição de um número composto?;;Números que têm mais divisores além de 1 e eles mesmos.
Se um número é divisível por 3, ele pode ser primo?;;Não necessariamente, pode ser divisor de 3 mas ainda assim não é primo.
Onde os números primos frequentemente aparecem na sequência dos números naturais?;;Eles são dispersos ao longo da linha, sem previsão exata.
