pergunta;resposta
Em que ano foi criado o IPCC?;1988
Qual é o objetivo principal do IPCC?;Sintetizar e divulgar conhecimentos avançados sobre mudanças climáticas
O que significa a sigla IPCC?;Painel Intergovernamental sobre Mudanças Climáticas
Quantos relatórios majors já foram produzidos pelo IPCC?;Cinco
Onde está sediado o IPCC?;Genebra, Suíça
Que prêmio o IPCC recebeu em 2007?;Prêmio Nobel da Paz
Quem é o atual presidente do IPCC?;Hoesung Lee
Qual é a abordagem metodológica do IPCC?;Reúne e resume conhecimentos produzidos por cientistas de alto nível
O IPCC é considerado a maior autoridade mundial sobre aquecimento global. É verdadeiro ou falso?;Verdadeiro
O IPCC recebe críticas apesar de sua importância. É verdadeiro ou falso?;Verdadeiro
