pergunta;resposta
1. O que mede o Coeficiente de Gini?;O Coeficiente de Gini é o método mais utilizado para medir a desigualdade econômica.
2. Quais são os principais tipos de desigualdade econômica mencionados?;A desigualdade econômica entre países, entre diferentes grupos de pessoas e a desigualdade dentro dos países.
3. Como a globalização afeta a desigualdade global e interna?;A globalização reduziu a desigualdade global (entre nações) mas aumentou a desigualdade dentro dos países.
4. O que é o Índice de Desenvolvimento Humano Ajustado pela Desigualdade?;É um índice composto que leva em conta a desigualdade.
5. Quais são os conceitos importantes de igualdade mencionados?;Equidade, igualdade de resultados e igualdade de oportunidades.
6. Como a desigualdade econômica influencia o crescimento econômico?;Uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
7. O que diferencia a distribuição de renda da distribuição de riqueza?;A renda é a quantidade de dinheiro recebida, enquanto a riqueza é a quantidade de riqueza possuída.
8. Quais são as principais medidas econômicas mencionadas?;Medidas de riqueza, renda e consumo.
9. O que é a desigualdade econômica entre diferentes grupos de pessoas?;É a desigualdade existente entre grupos sociais, como classes econômicas.
10. Quais são os fatores que contribuem para a desigualdade econômica?;Distribuição de renda, riqueza e consumo, além de políticas e estruturas sociais.
coefficiente de gini;O Coeficiente de Gini é o método mais utilizado para medir a desigualdade econômica.  
tipos de desigualdade econômica;A desigualdade econômica entre países, entre diferentes grupos de pessoas e a desigualdade dentro dos países.  
impacto da globalização na desigualdade;A globalização reduziu a desigualdade global (entre nações) mas aumentou a desigualdade dentro dos países.  
índice de desenvolvimento humano ajustado;É um índice composto que leva em conta a desigualdade.  
conceitos de igualdade;Equidade, igualdade de resultados e igualdade de oportunidades.  
desigualdade e crescimento econômico;Uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.  
diferença entre renda e riqueza;A renda é a quantidade de dinheiro recebida, enquanto a riqueza é a quantidade de riqueza possuída.  
medidas econômicas;Medidas de riqueza, renda e consumo.  
desigualdade entre grupos;É a desigualdade existente entre grupos sociais, como classes econômicas.  
fatores da desigualdade;Distribuição de renda, riqueza e consumo, além de políticas e estruturas sociais.
