pergunta;resposta
Quando começou a crise petrolífera de 1973?;outubro de 1973
Qual organização declarou o embargo petrolífero?;Organização dos Países Árabes Exportadores de Petróleo (OPAEP)
Por que foi imposto o embargo petrolífero?;por causa do apoio a Israel durante a Guerra do Yom Kippur
Quais países foram inicialmente alvo do embargo?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos
Qual foi o preço do petróleo em março de 1974?;cerca de US$ 12 por barril
Como é também chamada a crise petrolífera de 1973?;primeiro choque do petróleo
Quando foi levantado o embargo petrolífero?;março de 1974
Qual foi outro termo usado para descrever a crise?;crise petrolífera ou choque do petróleo
Qual evento subsequente é conhecido como o segundo choque do petróleo?;crise do petróleo de 1979
Por quanto tempo durou o embargo petrolífero?;aproximadamente cinco meses
