pergunta;resposta
Quem foi o arquiteto responsável pelo Projeto de Varsóvia após a Segunda Guerra Mundial?;Witold Urbanowicz;
Qual é o nome do principal rio que atravessa Varsóvia?;Vístula;
Em qual ano começou a ocupação soviética em Varsóvia?;1944;
Qual é o nome da praça central de Varsóvia conhecida como "centro político e cultural" da cidade?;Praça constituição;
Quantos milhões de habitantes aproximadamente tem Varsóvia atualmente?;1,8;
Em qual ano foi assinada a Declaração de Independência Polonesa em Varsóvia?;1918;
Qual era o nome oficial da cidade durante o período comunista na Polônia?;Vazha;
Quem é o autor do poema "O Pássaro de Fogo" que é frequentemente associado a Varsóvia?;Cyprian Norwid;
Em qual ano foi fundada Varsóvia como cidade?;1300;
Qual museu em Varsóvia é dedicado à história judaica e aos horrores do Holocausto?;Museu do Holocausto de Polônia;
