White blood cell faz parte do sistema Imune system;;sim
Basophil faz parte do sistema Imune system;;sim
Pancreatic islet macrophage faz parte do sistema Imune system;;sim
Immune system possui hiperônimo System;;sim
Lymphocyte faz parte do sistema Imune system;;sim
Immune system usa modelo de página wiki Template:Use dmy dates;;na verdade, isto é referente aos formatos de datas nos modelos da Wikipedia.
Immune system usa modelo de página wiki Template:System and organs;;sim
Immune system usa modelo de página wiki Template:Refend;;não há uma referência específica chamada "Template:Refend" no contexto fornecido, então esta resposta é implícita na função do sistema imunológico.
Immune system usa modelo de página wiki Template:Lymphatic system;;na verdade, o sistema linfático faz parte do sistema imune, mas não é mencionado diretamente como hiperônimo.
Immune system usa modelo de página wiki Template:Commons category;;sim
Monoblast faz parte do sistema Imune system;;na verdade, as monócitos (monoblastos) são componentes importantes do sistema imunológico.
Immune system possui cabeçalho LC Immune system;;na verdade, este é um tópico de referência específico para o tema da imunologia.
Immune system usa modelo de página wiki Template:Reflist;;não há uma referência específica chamada "Template:Reflist" no contexto fornecido, então esta resposta é implícita na função do sistema imunológico.
Immune system usa modelo de página wiki Template:Sfn;;não há uma referência específica chamada "Template:Sfn" no contexto fornecido, então esta resposta é implícita na função do sistema imunológico.
T cell faz parte do sistema Imune system;;sim
Granulocyte faz parte do sistema Imune system;;na verdade, granulócitos incluem eosinófilos, neutrófilos e macrófagos, que são partes importantes do sistema imunológico.
