pergunta;resposta
Qual é o número total de alunos na Universidade de Chicago?;16 016
Quantos ganhadores do Prêmio Nobel estão afiliados à Universidade de Chicago?;98
Qual é o nome da maior editora universitária dos Estados Unidos, ligada à Universidade de Chicago?;University of Chicago Press
O que foi o Chicago Pile-1, desenvolvido pela Universidade de Chicago?;A primeira reação nuclear autossustentável do mundo
Quantos prêmios MacArthur "Genius Grant" foram recebidos por membros da Universidade de Chicago?;34
Qual é a escola profissional da Universidade de Chicago conhecida por economia?;Escola de Negócios Booth
Qual centro presidencial será abrigado na Universidade de Chicago, incluindo a biblioteca de Obama?;Centro Presidencial Barack Obama
Quantos bolsistas Rhodes estão associados à Universidade de Chicago?;53
Qual é a entidade de acreditação da Universidade de Chicago?;Higher Learning Commission
Qual departamento da Universidade de Chicago contribuiu para o Projeto Manhattan durante a Segunda Guerra Mundial?;Departamento de Física e o Met Lab
