pergunta;resposta
Huguenotes eram protestantes de qual país?;França
Em que ano foi revogado o Édito de Nantes?;1685
Quantos huguenotes deixaram a França após a revogação do Édito de Nantes?;300 000
Quem era o monarca francês responsável pela revogação do Édito de Nantes?;Luís XIV
Qual foi a religião majoritária dos huguenotes?;calvinismo
Qual região da França tinha uma população protestante majoritariamente luterana?;Alsácia, Moselle e Montbéliard
O que são Camisards em relação aos huguenotes?;um grupo de huguenotes rebeldes
Huguenots é um termo relacionado a qual etnia religiosa?;grupos étnico-religiosos
Qual template do Wikipedia está associado à história dos huguenotes?;Template:History_of_Christianity
Onde o termo "huguenote" foi usado para nomear uma comunidade?;Huguenot, Orange County, New York e Huguenot, Staten Island
