pergunta;resposta
Qual é o principal método utilizado para medir a desigualdade econômica?;Coeficiente de Gini
Qual índice leva em conta a desigualdade ao avaliar o desenvolvimento humano?;Índice de Desenvolvimento Humano Ajustado pela Desigualdade
Como a maior desigualdade afeta o crescimento econômico?;Dificulta a duração do crescimento, mas não sua taxa
Como a globalização influenciou a desigualdade global?;Reduziu a desigualdade entre nações, mas aumentou a desigualdade dentro dos países
Qual a diferença entre desigualdade de renda e desigualdade de riqueza?;Renda é dinheiro recebido, riqueza é bens possuídos
Qual livro de Thomas Piketty aborda a desigualdade econômica?;Capital in the Twenty-First Century
Quem é um especialista associado ao estudo da desigualdade econômica?;Branko Milanović
Qual movimento está ligado à desigualdade econômica?;Movimento Occupy Wall Street
Qual é o objetivo do Índice de Desenvolvimento Humano Ajustado pela Desigualdade?;Incorporar a desigualdade na avaliação do desenvolvimento humano
Qual fator contribui significativamente para a distribuição de riqueza dentro de países?;Desigualdade econômica entre grupos sociais
