Pergunta_1;Resposta_1
Qual foi o início oficial da crise petrolífera de 1973?;outubro de 1973
Que país não participou do embargo petrolífero anunciado por membros da OPAEP?;Portugal
O preço do petróleo triplicou durante qual período?;do início ao fim do embargo, em março de 1974
Qual foi o efeito mais notável sobre os preços internacionais após o embargo petrolífero?;subiu de US$ 3 por barril para cerca de US$ 12 no mundo inteiro
A crise petrolífera de 1973 teve também conhecido como o "primeiro choque do petróleo";Verdade
Qual foi a situação política que levou à proclamação inicial do embargo por membros da OPAEP?;Apoiadores de Israel durante a Guerra do Yom Kippur
O Canadá, Japão e Reino Unido foram quais os países mais diretamente afetados pelo embargo anunciado pela OPAEP?;Canadá, Japão e Reino Unido
Qual país foi excluído da lista inicial de países alvo após o início do embargo petrolífero anunciado pela OPAEP?;Portugal
O segundo choque do petróleo é mais conhecido como qual crise que ocorreu em 1979?;Crisis do Petróleo de 1979
Qual foi a principal consequência econômica da crise petrolífera de 1973 no mercado internacional?;Aumento significativo nos preços do petróleo
