pergunta;resposta
1. Qual é a medida mais utilizada para avaliar a desigualdade econômica?;Coeficiente de Gini
2. O que o Índice de Desenvolvimento Humano Ajustado pela Desigualdade leva em conta?;a desigualdade
3. Como a globalização afeta a desigualdade entre países e dentro dos países?;reduziu a desigualdade entre nações, mas aumentou a desigualdade dentro dos países
4. Quais são os dois principais aspectos da desigualdade econômica?;distribuição de renda e distribuição de riqueza
6. Qual é a causa principal dos movimentos Occupy?;desigualdade econômica
7. O que a curva de Kuznets está associada?;desigualdade econômica
8. Como a desigualdade econômica afeta o crescimento econômico?;dificulta a duração do crescimento, mas não sua taxa
pergunta;resposta  
Qual é a medida mais utilizada para avaliar a desigualdade econômica?;Coeficiente de Gini  
O que o Índice de Desenvolvimento Humano Ajustado pela Desigualdade leva em conta?;a desigualdade  
Como a globalização afeta a desigualdade entre países e dentro dos países?;reduziu a desigualdade entre nações, mas aumentou a desigualdade dentro dos países  
Quais são os dois principais aspectos da desigualdade econômica?;distribuição de renda e distribuição de riqueza  
Qual é a causa principal dos movimentos Occupy?;desigualdade econômica  
O que a curva de Kuznets está associada?;desigualdade econômica  
Como a desigualdade econômica afeta o crescimento econômico?;dificulta a duração do crescimento, mas não sua taxa  
