pergunta;resposta
Qual é o rio que atravessa Varsóvia?;Vístula;
Em qual século a história de Varsóvia remonta?;XIII;
Quem transferiu a corte da Polônia para Varsóvia em 1569?;Sigismundo III;
Como era conhecida Varsóvia antes da Segunda Guerra Mundial?;"Paris do Norte";
Qual evento histórico levou à destruição do gueto judaico em Varsóvia em 1943?;Levante do Gueto de Varsóvia;
Quanto por cento dos edifícios de Varsóvia foram destruídos durante a Segunda Guerra Mundial?;mais de 85%;
Qual é o título dado a Varsóvia após sua reconstrução pós-guerra?;"Phoenix City";
Onde está localizado o maior teatro nacional do mundo?;Varsóvia;
Que instituição europeia tem sede em Varsóvia?;Frontex;
Qual categoria de "Amigável para Negócios" Varsóvia ocupou em 2017?;4º lugar;
