pergunta;resposta
Qual é o nome completo da Universidade de Chicago?;"University of Chicago"
Em que local está situada a Universidade de Chicago?;"Chicago, Illinois"
Quanto alunos de graduação a Universidade de Chicago possui atualmente?;"5.971"
Quem foi o responsável por desenvolver a primeira reação nuclear autossustentável no mundo?;"O Departamento de Física de Chicago e o Met Lab, sob os estandes de Stagg Field"
pergunta;resposta
Qual é o nome completo da Universidade de Chicago?;"University of Chicago"
Em que local está situada a Universidade de Chicago?;"Chicago, Illinois"
Quanto alunos de graduação a Universidade de Chicago possui atualmente?;"5.971"
Quem foi o responsável por desenvolver a primeira reação nuclear autossustentável no mundo?;"O Departamento de Física de Chicago e o Met Lab, sob os estandes de Stagg Field"
