pergunta;resposta
Qual paradigma é usado na comutação de pacotes?;comutação de pacotes é um paradigma de comunicação de dados;
Com que outro método a comutação de pacotes contrasta diretamente?;a comutação de circuitos;
O que a comutação de pacotes otimiza dentro da rede?;uso da largura de banda da rede;
Qual vantagem a comutação por ligação oferece sobre sem ligação?;garantia de entrega dos pacotes e ordem;
Exemplos conhecidos de comutação por ligação incluem quais tecnologias?;ATM, Frame Relay e X.25;
Quais são as características principais da comutação sem ligação?;flexibilidade e robustez superiores;
Qual cientista é creditado pelo desenvolvimento do conceito de comutação de pacotes moderno?;Donald Davies;
Paul Baran é conhecido por seu trabalho em qual sistema específico?;conceito Switching Adaptive Message Block;
W. David Sincoskie é famoso por suas contribuições a qual área da tecnologia?;comutação de pacotes;
Qual modelo de página wiki é usado para descrever detalhes sobre comutação de pacotes?;Template:Main;
