pergunta;resposta
Quem eram os huguenotes?;protestantes franceses durante as guerras religiosas na França.
Em qual ano foi revogado o Édito de Nantes?;1685.
Qual era a principal religião dos huguenotes?;calvinismo, membros da Igreja Reformada.
Quais regiões tinham maioria de huguenotes luteranos?;Alsácia, Moselle e Montbéliard.
Por que os huguenotes deixaram a França?;devido às perseguições religiosas e revogação do Édito.
Quantos huguenotes deixaram a França?;cerca de 300.000.
Qual foi a consequência da revogação do Édito para os huguenotes?;perda de liberdade religiosa.
Para quais países fora da França os huguenotes emigraram?;Estados Unidos, entre outros.
Quais locações nos Estados Unidos são nomeadas em homenagem aos huguenotes?;Huguenot em Nova York e Staten Island.
Qual grupo é associado a huguenotes via Scotch-Irish?;os americanos de origem escocesa-irlandesa.
