pergunta;resposta
**Pergunta;Resposta**
1. Quem é o líder atual do Parlamento Escocês?;Alison Johnstone
2. Em qual localização se encontra o Parlamento Escocês?;Edinburgh, Scotland
3. Qual foi a data da última eleição para o Parlamento Escocês?;"2021-05-06"
4. Quantos membros compõem o Parlamento Escocês?;"129"
5. Qual é o nome do líder do governo no Parlamento Escocês?;Nicola Sturgeon
6. Em qual edifício se realizam as sessões do Parlamento Escocês?;Scottish Parliament Building
7. Qual foi a data da próxima eleição para o Parlamento Escocês?;"--05-07"
8. Quais são os comitês principais do Parlamento Escocês?;Committee on The Scottish Government's Handling of Harassment Complaints against Former Ministers, Europe and External Relations, Health and Sport, Justice, Local Government and Communities, Procedures, Public Petitions, Scottish Parliamentary Pensions Scheme
9. Qual é a cor predominante associada ao Parlamento Escocês?;"#500791"
10. Quais são os grupos políticos presentes no Parlamento Escocês?;Government, In co-operation with, "Opposition Other"
