pergunta;resposta
Em que ano a British Satellite Broadcasting foi fundada?;1986
Qual é o nome da empresa resultante após a fusão da BSB com Sky Television?;BSkyB
Quando a BSB começou a transmitir?;25 de março de 1990
Qual TV channel pertence à British Satellite Broadcasting?;The Movie Channel
Qual filme foi produzido pela BSB?;Hardware (film)
Onde está localizado o sede da BSB?;Londres
Com qual empresa a BSB se fundiu para formar BSkyB?;Sky Television
Que tipo de entidade era a BSB?;Empresa de televisão por satélite
Em qual ano a BSB foi incorporada para formar BSkyB?;1990
Qual TV channel pertence à British Satellite Broadcasting?;Power Station (TV channel)
