pergunta;resposta
1. Pergunta: Qual é o número atômico do oxigênio?;Resposta: 8.
2. Pergunta: Qual é o segundo elemento mais abundante no universo?;Resposta: hélio.
3. Pergunta: Qual é a porcentagem do oxigênio na atmosfera terrestre?;Resposta: 20,8%.
4. Pergunta: O que é formado por dois átomos de oxigênio?;Resposta: O gás diatômico (O2).
5. Pergunta: Qual é a função do oxigênio na fotossíntese?;Resposta: Produz oxigênio a partir da água.
6. Pergunta: Quem descobriu o oxigênio?;Resposta: Carl Wilhelm Scheele e Joseph Priestley.
7. Pergunta: Quem cunhou o nome do oxigênio?;Resposta: Antoine Lavoissier.
8. Pergunta: O que é o ozônio e sua função na atmosfera?;Resposta: É um forte absorvente de radiação ultravioleta e protege a biosfera.
9. Pergunta: Qual é a abundância do oxigênio na crosta terrestre?;Resposta: Quase metade da sua massa.
10. Pergunta: Qual é a toxicidade do oxigênio em altas concentrações?;Resposta: Pode causar toxicidade, especialmente perto da superfície terrestre.
pergunta;resposta  
Qual é o número atômico do oxigênio?;8  
Qual é o segundo elemento mais abundante no universo?;hélio  
Qual é a porcentagem do oxigênio na atmosfera terrestre?;20,8%  
O que é formado por dois átomos de oxigênio?;O gás diatômico  
Qual é a função do oxigênio na fotossíntese?;Produz oxigênio a partir da água  
Quem descobriu o oxigênio?;Carl Wilhelm Scheele e Joseph Priestley  
Quem cunhou o nome do oxigênio?;Antoine Lavoisier  
O que é o ozônio e sua função na atmosfera?;É um forte absorvente de radiação ultravioleta e protege a biosfera  
Qual é a abundância do oxigênio na crosta terrestre?;Quase metade da sua massa  
Qual é a toxicidade do oxigênio em altas concentrações?;Pode causar toxicidade, especialmente perto da superfície terrestre
