pergunta;resposta
Quem cunhou o termo sistema imunitário?;Ilya Ilyich Mechnikov;
Qual é a função principal do sistema imunitário?;proteger o organismo contra doenças;
Que tipo de células faz parte do sistema imunitário?;white blood cell, basophil, lymphocyte, T cell, natural killer cell, dendritic cell, eosinophil, granulocyte, mast cell, neutrophil, macrophage, histiocyte, B cell, monoblast, monocyte;
Qual é a condição chamada quando o sistema imunitário ataca tecidos normais?;autoimunidade;
O que acontece se o sistema imunitário for menos ativo do que o normal?;imunodeficiência;
Quem é conhecido por suas contribuições no campo do sistema imunitário?;César Milstein, Lajos Kemény;
Qual órgão faz parte do sistema imunitário e está relacionado à produção de células sanguíneas?;medula óssea;
Que mecanismo básico acompanhou a evolução dos eucariotos e está presente nos seus descendentes contemporâneos?;fagocitose, defensinas, sistema complemento;
Qual é o processo através do qual o organismo cria memória imunológica?;imunidade adquirida;
Que tipo de células fazem parte das glândulas linfáticas?;tonsila, microfold cell, Langerhans cell;
