pergunta;resposta
Oxygen usa modelo de página wiki Template:Convert;8.
Breathing gas está relacionado a Oxygen;yep, oxigênio é um gás usado em respiração.
Oxygen usa modelo de página wiki Template:Authority control;oxygen tem código de controle internacional.
Inox Air Products possui produtos Oxygen;sí, eles produzem oxigênio para aviões.
RD-0124 possui hiperônimo Oxygen;enfim, ambos são componentes do motor.
Oxygen possui imagem representativa Phanerozoic Climate Change.png;não é um gás, mas uma imagem de mudança climática.
Oxygen usa modelo de página wiki Template:Pp-semi-indef;sí, ele tem um código para referências literárias.
Atmosphere of Mercury possui substância química Oxygen;sim, o oxigênio existe no ambiente do Mercúrio.
Oxygen possui imagem representativa Rust screw.jpg;sua imagem não se refere especificamente ao gás, mas a elementos relacionados.
RD-0110 possui hiperônimo Oxygen;aqui temos outro componente de um motor.
