pergunta;resposta
Qual é o termo usado para descrever a soma de todas as forças agindo sobre um objeto?;net force
Quais são os exemplos de unidades de força mencionadas no texto?;kip, poundal
Como se chama a categoria do conceito de força na Wiki?;Category:Force
Qual imagem é usada para ilustrar o conceito de força na página da Wiki?;Torque_animation.gif
Quem foi o primeiro a elaborar as leis matemáticas sobre força?;Sir Isaac Newton
O que levou quase trezentos anos para ser desenvolvido após as leis de Newton?;leis de movimento refinadas e novas teorias
Qual é o nome da teoria proposta por Einstein que descreve a relatividade?;Teoria da Relatividade
Quais são os tipos de interações fundamentais listados no texto?;forte, gravitacional, eletrofraca
O que são bósons de bitola no contexto do Modelo Padrão?;partículas trocadas previstas pelo modelo padrão para descrever forças subatômicas
Que teoria combina as interações fracas e eletromagnéticas em uma única força unificada?;interação eletrofraca
