pergunta;resposta
Qual é o tipo de desigualdade que a globalização reduziu?;desigualdade entre países ou Estados;
Qual medida é considerada a mais utilizada para medir a desigualdade econômica?;Coeficiente de Gini;
O que o Índice de Desenvolvimento Humano Ajustado pela Desigualdade leva em conta?;desigualdade;
De acordo com pesquisas, uma maior desigualdade econômica dificulta o quê?;a duração do crescimento;
Entre os tipos de igualdade conceituais mencionados, qual inclui aspectos relacionados a resultados e oportunidades?;equidade, igualdade de resultados e igualdade de oportunidades;
Qual autor atua na área de desigualdade econômica?;Branko Milanović;
O que é um tipo de desigualdade que aumentou dentro dos países devido à globalização?;desigualdade interna;
Qual categoria inclui Economic inequality como tema principal?;Category:Economic inequality;
Quem atua nas áreas relacionadas a economic inequality além do Branko Milanović?;Richard G. Wilkinson e Robert Wade (scholar);
O que o modelo de página wiki Template:Cite magazine é usado para em Economic inequality?;para referências de revistas ou jornais;
