pergunta;resposta
Qual é o símbolo químico do oxigênio?;O.
Que tipo de elemento é o oxigénio na tabela periódica?;não metal diatómico
Quais são os dois descobridores independentes do oxigénio?;Carl Wilhelm Scheele e Joseph Priestley.
Qual é a massa atómica aproximada do oxigénio?;16 u.
O que compõe cerca de 20,8% da atmosfera terrestre em forma diatómica?;dioxigénio (O₂).
Qual elemento químico tem maior electronegatividade após o flúor?;oxigênio.
Que processo natural é fundamental para a manutenção dos níveis de oxigénio na atmosfera?;fotossíntese
Quais elementos formam parte da maioria dos compostos óxidos na crosta terrestre?;o oxigênio e outros variados elementos.
Qual é o nome científico do gás composto por três átomos de oxigénio?;ozono (O₃).
Que tipo de proteção a camada de ozono fornece à biosfera terrestre?;absorve radiação ultravioleta.
