pergunta;resposta
Quais foram os principais grupos indígenas envolvidos na Guerra Franco-Indígena?;Algonquins, Hurons e Iroqueses;
Qual país europeu iniciou a guerra contra as tribos iroquesas em 1689?;França;
Por que os franceses entraram na Guerra Franco-Indígena?;Em resposta à série de ataques iroquesas que começaram no norte da Nova Inglaterra;
Quem foi o líder francês que negociou a paz com as tribos algonquinas e huronas?;Marquis de Denonville;
Qual era o principal objetivo dos britânicos durante a Guerra Franco-Indígena?;Derrotar os franceses nas Américas;
Quem liderava a luta contra os franceses em nome das tribos iroquesas?;Sociedade da Cabanagem Negra;
Qual foi o resultado final para as colônias britânicas após a Guerra Franco-Indígena?;Conquistas significativas, incluindo Nova Iorque e Pensilvânia;
Como era conhecida a aliança entre os iroqueses e os britânicos durante essa guerra?;Aliança Britânico-Iroquesa;
Qual evento desencadeou a Guerra Franco-Indígena em 1689?;Ataque iroquense à Forte Loyalton no norte da Nova Inglaterra;
Quem liderava os esforços de defesa franceses na região do Canadá durante o conflito?;Governador Jacques-René de Brisay, Marquis de Denonville;
