pergunta;resposta
Os huguenotes eram seguidores de qual confissão religiosa?;calvinistas;
Qual evento marcou o início da perseguição aos huguenotes em 1685?;revogação do Édito de Nantes;
Quantas pessoas aproximadamente deixaram a França após as perseguições?;300.000;
Onde os luteranos huguenotes eram majoritariamente encontrados na França?;regiões da Alsácia, Moselle e Montbéliard;
Qual modelo de página wiki é usado para Huguenots com relação ao respelling?;Template:Respell;
Huguenot, Orange County, New York foi nomeado em homenagem a quem?;os huguenotes;
O que marca o massacre dos Vaudois de Merindol na história da França?;uma imagem representativa do sofrimento protestante;
Qual cidade francesa expulsou 300 famílias protestantes em 1661?;La Rochelle;
Quem são os huguenotes mencionados como uma etnia religiosa no Wiki?;Category:Ethnoreligious groups;
O que representa a imagem CalasChapbook.jpg?;uma imagem representativa sobre perseguições contra comunidades protestantes;
