pergunta;resposta
Quando começou a crise do petróleo de 1973?;outubro de 1973;
Qual foi o preço inicial do barril de petróleo antes da crise?;US$ 3 por barril;
Quem foram as nações alvo inicialmente do embargo petrolífero em outubro de 1973?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos;
Qual organismo declarou o embargo sobre os países mencionados?;Organização dos Países Árabes Exportadores de Petróleo (OPAEP);
Por que foi proclamado o embargo petrolífero em 1973?;em represália ao apoio dado a Israel durante a Guerra do Yom Kippur;
Qual foi o preço final do barril de petróleo no fim da crise em março de 1974?;US$ 12 por barril;
Quais foram as consequências do embargo petrolífero para os países afetados?;crise ou "choque" de petróleo, com efeitos na política e economia global;
Qual foi o termo usado para a crise do petróleo de 1973?;"primeiro choque do petróleo";
Em qual ano ocorreu a segunda crise do petróleo após 1973?;1979;
Quando os produtores de petróleo árabes levantaram o embargo?;março de 1974;
