Huguenotes eram conhecidos como protestantes franceses durante quais guerras religiosas na França?;French Religious Wars of the 16th century.

Quando Luís XIV revogou o Édito de Nantes, que afetou significativamente os huguenotes?;em 18 de outubro de 1685.

Qual foi a principal razão para os huguenotes deixarem a França em massa após o revolvimento do Edicto de Nantes?;perseguições e perdas durante as guerras religiosas na França sob Luís XIV.

O termo "huguenote" originalmente se referia à qual das seguintes situações?;um ataque ou um gesto ofensivo em Genebra, Suíça.

Qual foi a proporção aproximada de huguenotes no total da população francesa quando o Edicto de Nantes foi revogado?;cerca de 1/8 do total.

O que o Edicto de Nantes permitia aos huguenotes em termos de autonomia religiosa, política e militar?;autonomia religiosa, política e militar substancial.

Qual cidade na Nova York recebeu o nome dos huguenotes?;Orange County, New York e Staten Island.

O termo "huguenote" pode ser relacionado a qual político suíço da história?;Besançon Hugues.

Qual foi a principal razão para os huguenotes deixarem a França em grande parte?;perseguições e perdas durante as guerras religiosas na França sob Luís XIV.

Quando ocorreu o Massacre de San Bartolomé, que teve um forte impacto nos huguenotes na França?;1572.
