pergunta;resposta
Qual é o objetivo principal da União Europeia?;promover a paz, seus valores e o bem-estar de seus povos;
Quais são os principais órgãos legislativos da UE?;Parlamento Europeu e pelo Conselho da União Europeia;
Qual é o significado do direito da União Europeia segundo seu Tribunal de Justiça?;"uma nova ordem jurídica de direito internacional";
De quem é a atuação principal na área de Direito da União Europeia?;John Bell (legal scholar);
Qual revista está associada à disciplina de Direito da União Europeia?;Common Market Law Review;
Quais são os três tipos principais de fontes do direito da UE?;direito primário, direito secundário e direito complementar;
O que representa a subdisciplina de Henry G. Schermers?;Law of the European Union;
Qual é o modelo de página wiki usado para Law of the European Union?;Template:Redirect category shell;
Quem atua na disciplina Law of the European Union?;John Bell (legal scholar);
Que efeito tem a legislação da UE sobre os Estados Membros?;efeito direto ou indireto;
