pergunta;resposta
Qual o ano de fundação da dinastia Yuan?;1271
Quem fundou a dinastia Yuan?;Kublai Khan
Qual o título alternativo da dinastia Yuan?;Dà Yuán
Qual o ano de dissolução da dinastia Yuan?;1368
Qual o tipo de entidade que a dinastia Yuan é classificada?;Country
Qual a capital da dinastia Yuan?;Khanbaliq
Qual a imagem representativa associada à dinastia Yuan que mostra uma paisagem de lagos?;2014.09.04.154246 Houhai Lake Beijing.jpg
Qual dinastia ocorreu antes da dinastia Yuan?;Jin dynasty (1115–1234)
Qual o idioma comum falado na dinastia Yuan?;Chinese language
Qual evento significativo ocorreu em 1279 na dinastia Yuan?;1279-03-19
