pergunta;resposta
Qual elemento químico tem o símbolo O e número atômico 8?;Oxigênio
Quem descobriu autonomamente o oxigênio em Uppsala em 1773?;Carl Wilhelm Scheele
Que nome grego deriva do termo 'oxigênio' e significa literalmente "picante"?;ὀξύς (oxys)
Qual alótropo de oxigênio é um forte absorvente de radiação ultravioleta?;Ozono (O3)
Em que ano Antoine Lavoisier cunhou o nome 'oxigênio'?;1777
De qual grupo do sistema periódico faz parte o oxigênio?;Grupo dos calcogénios
Qual é a massa atômica aproximada do oxigênio?;16 u
Qual elemento possui a segunda maior electronegatividade, atrás apenas de flúor?;Oxigênio
Que tipo de gás é o dioxigênio (O2) em condições normais de pressão e temperatura?;Gás diatómico
Qual é a principal função do oxigênio na respiração celular dos organismos vivos?;Usar no processo metabólico para produzir energia
