pergunta;resposta
3. **Leadership**: Current Chair is Hoesung Lee; past leaders include Bert Bolin and Rajendra Pachauri.
Now, structuring the CSV pairs accordingly, ensuring each line follows "pergunta;resposta" format without extra text.
Ano de criação do IPCC;1988
Quem fundou o IPCC;o Programa das Nações Unidas para o Meio Ambiente (PNUMA) e a Organização Meteorológica Mundial (OMM)
Qual órgão da ONU criou o IPCC;o Programa das Nações Unidas para o Meio Ambiente (PNUMA) e a Organização Meteorológica Mundial (OMM)
Qual é a sede do IPCC;Geneva, Switzerland
Quem é atualmente o presidente do IPCC;Hoesung Lee
Quem foi um dos presidentes anteriores do IPCC;Bert Bolin
O IPCC ganhou qual prêmio importante;o Prêmio Nobel da Paz
Qual área geográfica abrange a sede do IPCC;Suíça
Quem renunciou ao cargo de presidente do IPCC em fevereiro de 2015;Rajendra K. Pachauri
