pergunta;resposta
De onde se originou a Peste Negra?;a Ásia Central ou a Ásia Oriental.
Como a Peste Negra chegou ao Mediterrâneo e à Europa?;via navios mercantes genoveses.
Quanto da população europeia matou a Peste Negra?;30% a 60% da população total da Europa.
Onde ocorreram os primeiros casos de Peste Negra na Europa?;na Crimeia, em 1343.
Em que ano terminou oficialmente o efeito da Peste Negra na África do Norte?;depois de 1350.
Quando a população mundial reduziu devido à Peste Negra?;através da perda de uma geração, foi principalmente entre 75-200 milhões.
Qual é o principal meio de transmissão da Peste Negra?;as pulgas que vivem nos ratos.
Em qual região a Peste Negra atingiu seu pico na Europa?;até 1351.
De onde possivelmente veio a Peste Negra e como se espalhou por toda a bacia do Mediterrâneo?;do Oriente Médio, de onde viajou através da Rota da Seda para o Mediterrâneo, depois atingindo o resto da Europa através da península italiana.
Qual é a estimativa da redução populacional mundial causada pela Peste Negra?;de 475 milhões para cerca de 350-375 milhões no século XIV.
