Aqui estão 10 pares pergunta;resposta gerados com base nas informações fornecidas e nas instruções:

pergunta;resposta
Quais são as principais ferramentas usadas por um geólogo para estudar rochas?;martelo de geólogo, lupa e bússola
O que é um período geológico?;uma divisão da escala do tempo geológico
Qual é a importância dos fósseis no estudo da geologia?;eles fornecem evidências da vida passada e ajudam a determinar a idade das rochas
Qual é a diferença entre uma rocha extrusiva e uma rocha intrusiva?;rochas extrusivas são formadas na superfície da Terra, enquanto rochas intrusivas são formadas no interior da Terra
O que é um ciclo de rocha?;o processo contínuo de transformação de um tipo de rocha em outro
Qual é o papel da erosão na formação de rochas sedimentares?;a erosão quebra as rochas em sedimentos que são transportados e depositados
O que é uma falha geológica?;uma fratura na crosta terrestre ao longo da qual ocorreu movimento
Qual a diferença entre uma rocha clástica e uma rocha química?;rochas clásticas são formadas de fragmentos de outras rochas, enquanto rochas químicas são formadas pela precipitação de minerais de solução
O que é o princípio da sobreposição?;em uma sequência de rochas sedimentares não perturbadas, as camadas mais baixas são mais antigas do que as camadas superiores
Qual é a importância da geomorfologia?;estuda a forma da Terra e os processos que a moldam
