pergunta;resposta
De onde a Peste Negra se originou?;Ásia Central ou Ásia Oriental;
Quanto tempo durou o pico da epidemia na Europa?;entre 1347 e 1351;
Qual bactéria é responsável pela Peste Negra?;Yersinia pestis;
Quantas pessoas morreram devido à Peste Negra na Eurásia?;de 75 a 200 milhões;
Quanto tempo levou para a população europeia se recuperar do nível anterior?;cerca de 200 anos;
Qual foi o impacto da praga sobre a população mundial no século XIV?;reduziu de 475 milhões para 350-375 milhões;
Como era transportada a doença pelos navios mercantes?;através de pulgas que viviam em ratos nos navios;
Qual foi o impacto religioso da Peste Negra na Europa?;criou convulsões religiosas significativas;
Quantas pessoas morreram em Florença após a chegada da praga?;estima-se entre 45.000 e 100.000 habitantes;
Qual foi o principal meio de transmissão do Yersinia pestis nas epidemias bubônicas?;via pulgas que infectavam novos hospedeiros através de regurgitação;
