pergunta;resposta
Quem fundou a Dinastia Yuan?;Kublai Khan
Qual é o significado da palavra "Yuan" na língua chinesa?;significa "grande" ou "universal"
A Dinastia Yuan foi a primeira dinastia não-han chinesa a governar toda a China?;Sim, ela era de origem mongol
Quantos anos durou a Dinastia Yuan?;186 anos (de 1271 a 1368)
Qual foi o último imperador da Dinastia Yuan?;Toghon Temür, também conhecido como Xianzong
Na qual cidade a Dinastia Yuan foi estabelecida?;Dadu (atual Pekim, na China)
Qual era o símbolo oficial da dinastia?;Grande Império Mongol
Quando a Dinastia Yuan assumiu o controle do Tibete?;1253
Quem foi o primeiro imperador da Dinastia Yuan?;Kublai Khan, fundador do Grande Império Mongol
Qual era o sistema governamental da Dinastia Yuan?;Monarquia absoluta com governo centralizado
