pergunta;resposta
Qual é a Ivy League à qual a Universidade de Harvard pertence?;Harvard é um membro da Ivy League.
Em que estado americano está localizada a Universidade de Harvard?;A Universidade de Harvard está localizada no estado de Massachusetts.
Qual foi o primeiro benfeitor da Universidade de Harvard e em homenagem a quem a instituição foi nomeada?;A universidade foi nomeada em homenagem a John Harvard.
Qual foi o papel de Charles William Eliot na transformação da Universidade de Harvard?;Charles William Eliot transformou a faculdade e as escolas profissionais afiliadas em uma moderna universidade de pesquisa.
Qual evento histórico levou à fusão da Universidade de Harvard com o Radcliffe College?;A faculdade de graduação tornou-se mista após a sua fusão com o Radcliffe College em 1977.
Quem foi a primeira mulher a liderar a Universidade de Harvard como reitora?;Drew Gilpin Faust foi eleita a 28ª reitora em 2007 e é a primeira mulher a liderar a instituição.
Quantos ex-alunos de destaque foram filiados à Universidade de Harvard, considerando estudantes, professores e funcionários?;Cerca de 150 ganhadores do Prêmio Nobel foram filiados como estudantes, professores ou funcionários da instituição.
Qual o tamanho aproximado do campus principal da Universidade de Harvard em hectares?;O campus principal de 85 hectares está centrado no Harvard Yard.
Qual é a principal função da Biblioteca da Universidade de Harvard?;É a maior biblioteca acadêmica dos Estados Unidos e uma das maiores do mundo.
Qual a importância da Universidade de Harvard para a economia, considerando seu orçamento?;A universidade tem o maior orçamento, situando-se em cerca de 30 bilhões de dólares.
