pergunta;resposta
1. Qual é a definição de um número natural primo?;Um número natural é primo se tem unicamente dois divisores naturais distintos: o número um e ele mesmo.
2. Quantos números primos existem menores que 1000?;Existem 168 números primos positivos menores do que 1000.
3. O que são primos gêmeos?;São pares de números primos que se diferem em duas unidades.
4. Qual é o único número primo par?;"Dois" é o único número primo par.
5. Qual é o nome dado ao processo de escrever um número como produto de números primos?;É chamado de decomposição em fatores primos ou fatorização.
6. Quem demonstrou a infinitude dos números primos?;Euclides demonstrou a infinitude dos números primos por volta de 300 a.C.
7. Quais são os primeiros números primos?;Os primeiros números primos são 2, 3, 5, 7, 11, 13, 17, 19, 23, 29.
8. Qual teorema afirma que qualquer número natural diferente de 1 pode ser escrito de forma única como um produto de números primos?;O Teorema Fundamental da Aritmética.
9. Qual é a propriedade de ser um número primo?;A propriedade de ser um número primo é chamada "primalidade".
10. O que acontece com um número inteiro cujo módulo é maior que um e não é primo?;Diz-se que é composto.
Qual é a definição de um número natural primo?;Um número natural é primo se tem unicamente dois divisores naturais distintos: o número um e ele mesmo.
Quantos números primos existem menores que 1000?;Existem 168 números primos positivos menores do que 1000.
O que são primos gêmeos?;São pares de números primos que se diferem em duas unidades.
Qual é o único número primo par?;"Dois" é o único número primo par.
Qual é o nome dado ao processo de escrever um número como produto de números primos?;É chamado de decomposição em fatores primos ou fatorização.
Quem demonstrou a infinitude dos números primos?;Euclides demonstrou a infinitude dos números primos por volta de 300 a.C.
Quais são os primeiros números primos?;Os primeiros números primos são 2, 3, 5, 7, 11, 13, 17, 19, 23, 29.
Qual teorema afirma que qualquer número natural diferente de 1 pode ser escrito de forma única como um produto de números primos?;O Teorema Fundamental da Aritmética.
Qual é a propriedade de ser um número primo?;A propriedade de ser um número primo é chamada "primalidade".
O que acontece com um número inteiro cujo módulo é maior que um e não é primo?;Diz-se que é composto.
