pergunta;resposta
Quando foi incorporada a British Satellite Broadcasting?;novembro de 1990
Onde estava sediada a British Satellite Broadcasting?;Londres
Quando começou a transmitir a British Satellite Broadcasting?;25 de março de 1990
Qual empresa foi formada pela incorporação da British Satellite Broadcasting?;British Sky Broadcasting (BSkyB)
Quais canais de televisão foram proprietários da British Satellite Broadcasting?;Galaxy (British TV channel), Hardware (film), Memphis Belle (film), Now (British TV channel), The Computer Channel (BSB), The Movie Channel (British TV channel), The Power Station (TV channel)
Qual foi a sucessora da British Satellite Broadcasting?;Sky UK
Em que ano foi fundada a British Satellite Broadcasting?;1986
Qual foi o destino da British Satellite Broadcasting?;Fusão com Sky Television para formar BSkyB
Qual foi o principal serviço oferecido pela British Satellite Broadcasting?;Transmissão direta via satélite de serviços de televisão
Qual é o nome completo da empresa que foi incorporada em novembro de 1990?;British Satellite Broadcasting plc
