pergunta;resposta
Quantos membros compõem o Parlamento Escocês?;129 membros
Qual é o sistema eleitoral utilizado para eleger os MSPs?;Sistema misto de representação proporcional
Em que ano foi estabelecido o atual Parlamento Escocês?;1999
Quem foi a primeira Presiding Officer do Parlamento Escocês?;Dame Gillian Ewart
Qual partido político tem maioria no Parlamento Escocês?;Partido Nacional Escocês (Scottish National Party)
Quais são alguns comitês do Parlamento Escocês?;Comitês de Saúde e Esportes, Turismo na Escócia, Direitos Humanos
Onde está localizado o Parlamento Escocês?;Em Holyrood, Edimburgo
Qual foi a data da última eleição para o Parlamento Escocês?;6 de maio de 2016
Quem é a atual Presiding Officer do Parlamento Escocês?;Alison Johnstone
Quem é o Primeiro-Ministro da Escócia?;Nicola Sturgeon
