pergunta;resposta
Qual é o número total de membros do Scottish Parliament?;129
Quem é o líder atual do Scottish Parliament?;Alison Johnstone
Em qual cidade está localizado o Scottish Parliament?;Edinburgh, Scotland
Quantos MSPs representam individualmente os distritos eleitorais geográficos?;73
Qual foi a data da última eleição geral para o parlamento escocês?;2021-05-06
Quem nomeia o First Minister of Scotland?;Scottish Parliament
Quantos MSPs se dividem proporcionalmente entre as regiões distintas?;52
Qual é a cor de fundo associada ao Scottish Parliament?;#500791
Onde está sediado o Scottish Parliament?;Scottish Parliament Building
Quem foi nomeado pelo Scottish Parliament para ser Commissioner for Ethical Standards in Public Life in Scotland?;Commissioner for Ethical Standards in Public Life in Scotland
