pergunta;resposta
Qual é a principal característica que define um império, segundo o texto?;território geográfico extenso e diverso, governado por um soberano ou oligarquia
Qual o significado da palavra "imperium" em latim?;poder, autoridade
Qual a função do centro de um império (metrópole)?;exercer controle político sobre as periferias
Segundo o texto, como o termo "império" pode ser utilizado além de designar um território?;como categoria de análise
Qual a relação entre o Império Romano e a palavra "imperium"?;a palavra "imperium" é usada no sentido de "território"
Qual modelo de página wiki é frequentemente utilizado no contexto do imperialismo?;Template:ISBN
Qual a motivação por trás do Herero and Namaqua genocide?;Imperialism
Qual a ideologia compartilhada pelo Alliance for National Reconstruction?;Imperialism
Qual modelo de página wiki é usado para indicar a necessidade de mais informações sobre um tópico relacionado ao imperialismo?;Template:Citation needed
Qual o assunto não ficcional abordado por Faultline 49?;Imperialism
