pergunta;resposta
Qual é o nome chinês da dinastia Yuan?;元朝 (Yuán cháo)
Quem fundou a dinastia Yuan?;Kublai Khan
Em qual ano foi estabelecida oficialmente a dinastia Yuan?;1271
A dinastia Yuan era de origem que etnia?;mongol
Qual é o nome do calendário usado durante a dinastia Yuan?;"Time Granting Calendar"
Quando terminou formalmente a dinastia Yuan?;1368
Kublai Khan era neto de qual líder mongol famoso?;Genghis Khan
O que aconteceu em 1276 e 1279 durante o período da dinastia Yuan?;Mongol conquest of the Song dynasty
Qual foi a capital da dinastia Yuan?;Khanbaliq
Que evento marcou o fim do reinado da dinastia Yuan?;Fall of Khanbaliq
