pergunta;resposta
Qual foi a principal inovação tecnológica que permitiu o desenvolvimento dos navios motor a vapor?;o uso de motores a vapor para propulsão marítima;
Quando aproximadamente ocorreu o início do uso generalizado dos motores a vapor em navios?;no final do século XVIII e começo do XIX;
Qual país é considerado pioneiro no desenvolvimento e utilização de motor a vapor em embarcações?;Reino Unido;
O que permitiu aos navios motor a vapor navegar contra correntes e subir rios mais estreitos?;a força gerada pelo motor a vapor foi suficiente para superar obstáculos físicos;
Qual era o principal combustível utilizado nos motores a vapor dos navios no início do século XIX?;carvão;
Quais foram as principais vantagens da propulsão por motor a vapor sobre os navios movidos à vela?;velocidade e confiabilidade de navegação independentemente das condições meteorológicas;
Como o uso de motores a vapor afetou a rota comercial entre Europa e Índia?;reduziu significativamente o tempo de viagem, tornando as rotas comerciais mais eficientes;
Qual era um dos maiores desafios técnicos ao desenvolvimento inicial dos navios motor a vapor?;a necessidade de equilibrar peso entre combustível e cargas;
Como os motores a vapor influenciaram o comércio global no início do século XIX?;expandiram drasticamente as rotas comerciais e aceleraram a troca de mercadorias;
Qual era uma característica distintiva dos navios motor a vapor em comparação aos navios movidos à vela?;capacidade para manter velocidades constantes independentemente das condições do mar;
