pergunta;resposta
Qual é o principal componente responsável por gerar a vapor em um motor a vapor?;Boiler
Qual é a função do pistão em um motor a vapor?;Converter a pressão do vapor em movimento mecânico
Como o motor a vapor converte calor em energia mecânica?;O calor do boiler vaporiza a água, gerando vapor que impulsiona o pistão
Qual é a principal fonte de calor em um motor a vapor?;O boiler
Quando foram inicialmente utilizados os motores a vapor em larga escala?;No final do século XVIII, com o desenvolvimento do ciclo de Rankine
Qual é a função do condensador em um motor a vapor?;Condensar o vapor em água para reutilização
Quais são os principais benefícios dos motores a vapor?;Simplicidade, confiabilidade e capacidade de funcionar sem energia elétrica
Qual é a principal desvantagem dos motores a vapor?;Baixa eficiência energética e dependência de combustíveis fósseis
Qual é o papel do manivela em um motor a vapor?;Converter o movimento linear do pistão em movimento rotacional
Em quais indústrias os motores a vapor foram amplamente utilizados durante a Revolução Industrial?;Transporte, mineração e produção industrial
