```csv
Context,Question,Answer
31,"Onde estão Jersey e Guernsey","Ilhas do Canal."
32,"Qual é o idioma da arquitetura normanda?","românico"
33,"Que tipo de arquitetura veio depois de Norman na Inglaterra?","nício do gótico."
34,"Quem usou a igreja para se unir?","duques"
35,"Quando foram as guerras religiosas francesas?","século XVI"
36,"Que tipo de bordado foi usado na criação da tapeçaria de Bayeux?","bordado."
37,"Que tipo de arte normanda sobrevive principalmente na Grã-Bretanha?","trabalho em pedra ou metal, como maiúsculas e fontes batismais."
38,"Em que século ocorreram importantes desenvolvimentos da música clássica na Normandia?","século XI"
39,"Para onde os monges fugiram?","sul da Itália"
31,"Quantos costumes tem o direito costumeiro normando?","dois"
32,"Que tipo de arcos possui a arquitetura Norman?","arredondados"
33,"Que lugar tinha o estilo arquitetônico árabe normando?","Sicília."
34,"Quem encomendou a tapeçaria?","Odo"
35,"Quando a reforma da igreja começou?","início do século"
36,"Qual é a peça mais conhecida da arte normanda?","tapeçaria de Bayeux"
37,"Que tipo de arte normanda sobrevive principalmente na Grã-Bretanha?","trabalho em pedra ou metal, como maiúsculas e fontes batismais."
38,"Quem eram os dois abades na Abadia de Fécamp?","William de Volpiano e John de Ravenna"
39,"Quem frequentou os monges na Itália?","Robert Guiscard"
39,"Por que tradição os monges de Saint-Evroul eram conhecidos?","canto"
```
