Id,Question,Answer
1,"O que é o idioma da arquitetura normanda?",românico
2,"Qual tipo de arcos possui a arquitetura Norman?",arredondados
3,"Que tipo de arte veio antes do Normano na Inglaterra?",nglo-saxão
4,"Qual o lugar onde se encontrava o estilo arquitetônico árabe normando?",Sicília
5,"Quando começou a reforma da igreja nos século XI?",início do século
6,"Quem usou a igreja como uma força unificadora no ducado díspar?",duques
7,"Qual é o tipo mais importante de arte normanda preservada nas igrejas?",mosaicos
8,"Quais abades desenvolveram o sistema de denotar notas por letras na Abadia de Fécamp?",William de Volpiano e John de Ravenna
9,"Para onde os monges de Saint-Evroul fugiram no século XI?",sul da Itália
10,"Que mosteiro os monges de Saint-Evroul estabeleceram na Itália?",mosteiro latino em Sant'Eufemia
