```csv
Context,Question,Answer
31,Onde estão Jersey e Guernsey,Ilhas do Canal.
31,Quantos costumes tem o direito costumeiro normando?,dois
32,Qual é o idioma da arquitetura normanda?,românico
32,Que tipo de arcos possui a arquitetura Norman?,arredondados
33,Que tipo de arquitetura veio depois de Norman na Inglaterra?,nício do gótico.
33,Que tipo de arquitetura veio antes de Norman na Inglaterra?,nglo-saxão
33,Que lugar tinha o estilo arquitetônico árabe normando?,Sicília.
34,Quando começou a reforma da igreja?,início do século
34,Quem usou a igreja para se unir?,duques
35,Quando foram as guerras religiosas francesas?,século XVI
36,Que tipo de bordado foi usado na criação da tapeçaria de Bayeux?,bordado.
36,Qual é a peça mais conhecida da arte normanda?,tapeçaria de Bayeux
36,Quem encomendou a tapeçaria?,Odo
37,Qual é o tipo mais importante de arte normanda preservada nas igrejas?,mosaicos
38,Em que século ocorreram importantes desenvolvimentos da música clássica na Normandia?,século XI
38,Quem eram os dois abades na Abadia de Fécamp?,William de Volpiano e John de Ravenna
39,Para onde os monges fugiram?,sul da Itália
39,Que mosteiro os monges de Saint-Evroul estabeleceram na Itália?,osteiro latino em Sant'Eufemia.
39,Quem frequentou os monges na Itália?,Robert Guiscard
39,Por que tradição os monges de Saint-Evroul eram conhecidos?,canto
```
