Aqui está o CSV gerado com base na entrada fornecida:

id,texto,tipo,data
1,"Odo, o bispo de Bayeux, era um líder político e espiritual da Normandia no século 10. Ele foi o primeiro conde de Kent e ajudou a estabelecer a religião cristã na Inglaterra.",type:biografia,date:1066
2,"A tapeçaria de Bayeux é uma obra-prima da arte normanda que retrata a batalha de Hastings, em 1066. É feita de arame e tem cerca de 7 metros de comprimento.",type:tapeçaria,data:1066
3,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
4,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
5,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
6,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
7,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
8,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
9,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
10,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
11,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
12,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
13,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
14,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
15,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
16,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
17,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
18,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
19,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
20,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
21,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
22,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
23,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
24,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
25,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
26,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
27,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
28,"Em 1066, Haroldo II da Inglaterra derrotou o exército normando na batalha de Hastings. Isso resultou em um período de controle normando sobre a Inglaterra e em uma influência significativa na cultura e na língua inglesas.",type:evento,data:1066
29,"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar.",type:arquitetura,data:1066
30,"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical.",type:desenvolvimento,data:1066
