pergunta;resposta
Em que cidade Zbigniew Messner morreu?;Warsaw
Jonas Turkow nasceu em qual cidade?;Warsaw
Qual é a cidade de nascimento de Jakub Szumski?;Warsaw
Em qual local os Matches of Polish men's volleyball nacional foram realizados?;Warsaw
Jacek Woszczerowicz morreu em qual cidade?;Warsaw
Qual é o nome da ponte em Varsóvia?;Sigismund Augustus Bridge
Qual tipo de projeto está associado a Ryszard Jurkowski em Varsóvia?;projeto relevante
Qual é a sede principal da emissora TVN Style?;Warsaw
Janina Oyrzanowska-Poplewska nasceu em qual cidade?;Warsaw
Karol Adwentowicz morreu em qual cidade?;Warsaw
